url,local_path,section_hint,priority,pinned,expected_date,source_type_hint,source_name_hint,tags,note
,data/manual_sources/policy/policy_01.html,policy,4,false,2026-06-03,html,监管政策样例,ESG披露指引与气候信息披露要点,ESG披露指引与气候信息披露要点 | 政策文件 HTML
,data/manual_sources/policy/policy_02.html,policy,4,false,2026-06-10,html,生态环境政策样例,碳排放管理与绿色低碳政策跟踪,碳排放管理与绿色低碳政策跟踪 | 政策文件 HTML
,data/manual_sources/policy/policy_03.html,policy,4,false,2026-06-18,html,交易所披露样例,交易所可持续发展报告披露观察,交易所可持续发展报告披露观察 | 政策文件 HTML
,data/manual_sources/policy/全国碳市场信息网 -《农业废弃物集中处理工程项目 监测数据联网规范》等四项团体标准征集参编单位.pdf,policy,5,true,2026-06-10,pdf,全国碳市场信息网,全国碳市场信息网团体标准征集参编单位 PDF,碳市场团体标准征集参编单位 PDF
,data/manual_sources/industry/industry_01.html,industry,3,false,2026-06-05,html,行业媒体样例,煤炭行业绿色矿山与生态修复实践,煤炭行业绿色矿山与生态修复实践 | 行业新闻 HTML
,data/manual_sources/industry/industry_02.html,industry,3,false,2026-06-14,html,行业研究样例,火电行业低碳转型与能效提升动态,火电行业低碳转型与能效提升动态 | 行业新闻 HTML
,data/manual_sources/industry/industry_03.html,industry,3,false,2026-06-21,html,能源行业样例,煤电企业安全生产与甲烷治理观察,煤电企业安全生产与甲烷治理观察 | 行业新闻 HTML
,data/manual_sources/company/company_01.html,company,4,false,2026-06-08,html,中国神华样例,中国神华安全生产与绿色运营动态,中国神华安全生产与绿色运营动态 | 公司动态 HTML
,data/manual_sources/company/company_02.html,company,4,false,2026-06-17,html,中国神华样例,中国神华低碳管理与ESG披露跟踪,中国神华低碳管理与ESG披露跟踪 | 公司动态 HTML
,data/manual_sources/company/2415.05亿元！中国神华品牌价值再创新高.pdf,company,3,false,2026-05-21,pdf,中国神华,2415.05亿元！中国神华品牌价值再创新高 PDF,中国神华品牌价值 PDF；日期早于本期报告周期，仅作历史资料
,data/manual_sources/company/中国神华东营港煤炭下水通道正式通航.pdf,company,5,true,2026-06-22,pdf,中国神华,中国神华东营港煤炭下水通道正式通航 PDF,东营港煤炭下水通道正式通航 PDF
,data/manual_sources/peer/peer_01.html,peer,3,false,2026-06-12,html,中煤能源样例,中煤能源绿色矿山与安全管理行动,中煤能源绿色矿山与安全管理行动 | 对标企业 HTML
,data/manual_sources/peer/peer_02.html,peer,3,false,2026-06-24,html,陕西煤业样例,陕西煤业生态修复与投资者沟通实践,陕西煤业生态修复与投资者沟通实践 | 对标企业 HTML
https://www.shenhuachina.com/zgshww/gsxw/202606/a6161437344548cd9b69fd9e8bf2b66a.shtml,,company,4,false,2026-06-29,url,中国神华,国能锦界公司400万吨/年CCUS示范工程项目取得规划许可,国能锦界公司400万吨/年CCUS示范工程项目取得规划许可 | 400万吨/年CCUS示范工程取得规划许可，可用于分析煤电低碳转型、碳捕集技术布局和项目合规推进
https://www.shenhuachina.com/zgshww/gsxw/202606/27577ec92234483ba667571e7f899846.shtml,,company,4,false,2026-06-29,url,中国神华,宝日希勒露天矿微藻固碳项目实现规模化扩培新突破,宝日希勒露天矿微藻固碳项目实现规模化扩培新突破 | 宝日希勒露天矿微藻固碳项目取得规模化扩培进展，可用于分析矿山生态修复和生物固碳技术探索
https://www.shenhuachina.com/zgshww/xwtt/202606/432cebe1057743c6be91e6882f2d7f47.shtml,,company,4,false,2026-06-29,url,中国神华,新疆化工气化粗渣用于盐碱地土壤改良关键技术达到国际先进水平,新疆化工气化粗渣用于盐碱地土壤改良关键技术达到国际先进水平 | 煤化工气化粗渣用于盐碱地土壤改良，适合分析固废资源化、土壤修复和循环经济实践
https://www.shenhuachina.com/zgshww/gsxw/202606/d04e36610aaa4c19ba1b9f6ff55ef22a.shtml,,company,4,false,2026-06-22,url,中国神华,神东煤炭首个矸石山自燃治理科技攻关项目启动,神东煤炭首个矸石山自燃治理科技攻关项目启动 | 神东煤炭启动矸石山自燃治理科技项目，可用于分析固废治理、安全生产和绿色矿山风险防控
https://www.shenhuachina.com/zgshww/gsxw/202606/f66caa2fb477420cb33340ab33ffe9e1.shtml,,company,4,false,2026-06-22,url,中国神华,中国神华东营港煤炭下水通道正式通航,中国神华东营港煤炭下水通道正式通航 | 东营港煤炭下水通道正式通航，可用于分析煤炭运输效率、供应链韧性和能源保供能力
https://www.shenhuachina.com/zgshww/xwtt/202606/c30869415bf74997af5c13062fab8b5a.shtml,,company,4,false,2026-06-15,url,中国神华,我国首台双动力智能捣固车在中国神华自有铁路全面投用,我国首台双动力智能捣固车在中国神华自有铁路全面投用 | 双动力智能捣固车在自有铁路投用，可用于分析铁路装备低碳化、智能化和作业环境改善
